lcs_id,lcs_description,s5_type,s5_id,s5_latitude,s5_longitude,lcs_latitude,lcs_longitude,lcs_date,lcs_time,usable_length_bin_minutes,usable_length_bin_seconds,usable_length_bin_frames_at_30fps,usable_length_all_minutes,usable_length_all_seconds,usable_length_all_frames_at_30fps,onemin_offset_bin_minutes,onemin_offset_bin_seconds,onemin_offset_bin_frames_at_30fps,insitu_spl_full_L,insitu_spl_full_R,insitu_spl_full_LR_eavg,insitu_spl_full_GRAS146AE,insitu_spl_1min_L,insitu_spl_1min_R,insitu_spl_1min_LR_eavg,insitu_spl_1min_GRAS146AE,gain_at_insitu_spl_LR,gain_at_insitu_spl_GRAS146E,link_full_youtube,link_full_insta360,link_full_sqobold_all,link_full_sqobold_bin,link_full_sqobold_spl,link_full_zylia_19ch_part01,link_full_zylia_19ch_part02,link_full_zylia_02ch,link_1min_youtube,link_1min_insta360,link_1min_sqobold_all,link_1min_sqobold_bin,link_1min_sqobold_spl,link_1min_zylia_19ch,link_1min_zylia_02ch
S0001,NTU Sports and Recreation Centre,C&T,11,1.348941989,103.6876865,1.3502707,103.6881645,20220916,1023,25,32,14,22,44,12,16,0,0,50.97,50.98,50.97500288,48.18,48.78,49.58,49.19839,46.52,5.97802,4.074715,https://youtu.be/REmxz-1Pf7Q,https://researchdata.ntu.edu.sg/api/access/datafile/110455?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110454?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110457?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110458?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110459?gbrecs=true,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/110456?gbrecs=true,https://youtu.be/ADzSYviV0Gc,https://researchdata.ntu.edu.sg/api/access/datafile/111099?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111336?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110292?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110386?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110156?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110215?gbrecs=true
S0002,Intersection of Jurong West Street 63 & Jurong West Street 64,C&R,4,1.3376415,103.7036367,1.337600,103.702834,20220916,1205,26,10,27,23,1,12,14,12,0,69.82,66.12,68.35265989,65.4,76.8,71.54,74.92195,71.64,5.525061,3.931427,https://youtu.be/7iV2FOR48FQ,https://researchdata.ntu.edu.sg/api/access/datafile/108989?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109005?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109003?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109008?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109006?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109004?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/109007?gbrecs=true,https://youtu.be/qskVz-fkItU,https://researchdata.ntu.edu.sg/api/access/datafile/111084?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111313?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110275?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110279?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110152?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110159?gbrecs=true
S0003,Singapore Discovery Centre,B&L,1,1.336054064,103.6840244,1.3314139,103.6782363,20220916,1317,26,21,9,23,52,29,10,37,0,60.45,61.03,60.74967518,57.03,60.41,57.8,59.29819,55,6.520904,4.213561,https://youtu.be/NETpq50GJao,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111136?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110509?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111127?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111122?gbrecs=true,https://youtu.be/MmVc0-cDdrE,https://researchdata.ntu.edu.sg/api/access/datafile/111058?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111310?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110157?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110165?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110320?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110155?gbrecs=true
S0004,Tampines Central 7,C&R,1,1.359156559,103.9407174,1.3581378,103.9400907,20220919,1824,38,43,9,38,43,9,7,2,0,69.26,71.1,70.27672519,66.92,72.74,76.35,74.90977,71.48,6.16897,4.194278,https://youtu.be/q04g1INdn5A,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111133?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110496?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111125?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111129?gbrecs=true,https://youtu.be/_2MbSIqL0Cg,https://researchdata.ntu.edu.sg/api/access/datafile/111067?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111353?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110347?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110177?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110297?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110205?gbrecs=true
S0005,Tampines Eco Green Park,C&T,3,1.362116882,103.9467685,1.3633240,103.9461632,20220921,1845,28,52,10,21,11,3,8,53,0,57.23,61.15,59.61803492,55.77,59.66,64.34,62.60207,58.35,7.882733,5.000619,https://youtu.be/8xmRBVsQf-4,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111128?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110500?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111132?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111130?gbrecs=true,https://youtu.be/wy25PHRmTE0,https://researchdata.ntu.edu.sg/api/access/datafile/111091?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111347?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110199?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110373?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110387?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110285?gbrecs=true
S0006,White Sands Shopping Mall,B&L,11,1.372735405,103.9496974,1.3728609,103.9508064,20220922,1136,18,47,7,11,6,29,16,30,0,67.47,68.46,67.99314868,63.81,69.77,70.98,70.417,66.67,5.349492,3.299246,https://youtu.be/oLjJXGHPr98,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111124?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110511?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111116?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111135?gbrecs=true,https://youtu.be/jmIQ_dwTGig,https://researchdata.ntu.edu.sg/api/access/datafile/111069?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111339?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110288?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110376?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110227?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110240?gbrecs=true
S0007,Singapore University of Technology and Design Staff Housing,B&L,4,1.342467129,103.9633338,1.3424770,103.9637642,20220922,1319,30,4,19,23,41,21,3,54,0,63.72,68.48,66.72189326,59.6,63.95,82.53,79.57951,59.52,9.200503,3.982962,https://youtu.be/vGQoPN63uLQ,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111131?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110513?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111121?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111118?gbrecs=true,https://youtu.be/VS_Mzlp7b4E,https://researchdata.ntu.edu.sg/api/access/datafile/111051?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111345?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110160?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110369?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110248?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110359?gbrecs=true
S0008,Changi Beach Park,C&T,5,1.388507653,103.9884539,1.3909713,103.9884356,20220922,1743,31,44,14,23,43,12,1,59,0,60.64,60.9,60.77194539,58.43,64.54,65.14,64.85035,62.92,6.430018,4.886378,https://youtu.be/RMcyq8oq3Tg,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111119?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110463?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111123?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111115?gbrecs=true,https://youtu.be/kEw58WqG7WY,https://researchdata.ntu.edu.sg/api/access/datafile/111073?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111338?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110289?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110259?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110201?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110175?gbrecs=true
S0009,Harrison Industrial Building,C&R,11,1.33519676,103.8844747,1.3330752,103.8869456,20220928,1141,33,1,25,33,1,25,9,41,0,76.89,74.31,75.7888339,72.29,79.72,81.48,80.68855,76.87,5.304905,3.536047,https://youtu.be/ZrAF-kaG_-c,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111117?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110491?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111137?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111126?gbrecs=true,https://youtu.be/SPpHUa3VlDg,https://researchdata.ntu.edu.sg/api/access/datafile/111111?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111324?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110318?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110281?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110384?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110169?gbrecs=true
S0010,East Coast Park (Area C),C&T,7,1.301187849,103.9156572,1.301258,103.915458,20220929,1049,24,18,25,24,18,25,22,26,0,59.49,57.07,58.44642409,55.42,61.84,57.71,60.24848,56.78,6.328845,4.407118,https://youtu.be/vmTkxvmIREU,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111138?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110466?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111134?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111120?gbrecs=true,https://youtu.be/VDIdwPTqTTU,https://researchdata.ntu.edu.sg/api/access/datafile/111096?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111300?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110161?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110217?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110295?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110238?gbrecs=true
